vertex_idx;y1;y2
0;0.5000002252942615;-1.1124887545298772
1;0.9250086047451096;-1.112499755116979
2;0.9338406547031243;-1.1282556395031047
3;0.9427411193914486;-1.1454758258308821
4;0.951642341138156;-1.1639594733963112
5;0.9604886824972814;-1.183619810924994
6;0.9690876344370071;-1.2039482176555882
7;0.9776877680471954;-1.2254830494994942
8;0.9863126182665712;-1.2483061762835144
9;0.9948314887080218;-1.2720334162615714
10;1.0033784442001985;-1.297022013367392
11;1.0119734796825433;-1.3233549589172062
12;1.0205327413591607;-1.3507800674251673
13;1.0291847911423697;-1.3797044758151313
14;1.03811304329703;-1.4108625197536113
15;1.0471314758856056;-1.4436129722127002
16;1.0561868039307014;-1.4778574119021648
17;1.0650017469655904;-1.5125215384577466
18;1.064998362852179;-1.7999988948948218
19;0.7453653162308205;-1.80000000050354
20;0.49999863876943207;-1.8000005454671846
