vertex_idx;y1;y2
0;0.5000003529543545;-0.9219001360492896
1;0.8368433997084078;-0.9219047614329703
2;0.8519332893284906;-0.9219109715672125
3;0.8572510188902702;-0.9222080107740793
4;0.8609396949342717;-0.9226610917331887
5;0.8646378957403551;-0.9233256218577599
6;0.8683778122420949;-0.9242060425714336
7;0.8719421529782012;-0.9252537653770976
8;0.8758597821188159;-0.92660664949032
9;0.8799184092876934;-0.9282633244162254
10;0.8839287689375387;-0.9301413965593256
11;0.8879898967647506;-0.9322954299572879
12;0.8920113839990778;-0.9346722870689387
13;0.8960435730251245;-0.9373048670057683
14;0.90008909397484;-0.9401929928139787
15;0.9021337152007423;-0.9417608600973378
16;0.9040710709519689;-0.9432802262106738
17;0.9122911849341325;-0.9504052534767924
18;0.920547717082847;-0.9585904036167464
19;0.9287979246197029;-0.9678028535394979
20;0.9370373742685917;-0.9780362858341004
21;0.9454013749437412;-0.9894773284793315
22;0.9537378378569619;-1.0019312756005698
23;0.9625200053931012;-1.0161901686239783
24;0.9670222968445357;-1.0239531633412646
25;0.9695897779514745;-1.02872278766037
26;0.9738169817827985;-1.0375098843943407
27;0.978059703936756;-1.047512806345376
28;0.9822985316325734;-1.058685954277758
29;0.9865377093710901;-1.0710378497230373
30;0.9907704045840986;-1.0845474238866881
31;0.9950095671189239;-1.0992540880784993
32;0.9992403938006594;-1.1151084913731288
33;1.0034979593003501;-1.1322417527620798
34;1.0077400640318241;-1.1505094704536534
35;1.011975836886329;-1.169915635528795
36;1.0162098122570544;-1.1904985895059301
37;1.0204568486939858;-1.212315596572585
38;1.0247312593639903;-1.2354783649977394
39;1.0289396876537489;-1.2594663903927847
40;1.0374089349905047;-1.3112228350482786
41;1.0429043822933017;-1.3473159738012144
42;1.0484671209197893;-1.3858711257895322
43;1.054018788636488;-1.4263942622427999
44;1.0595429750398306;-1.4687140573530049
45;1.065074697139492;-1.5130864326551752
46;1.0706242054703667;-1.5596334146336144
47;1.0761927156371478;-1.6083620285344382
48;1.0816684428914765;-1.658304296860348
49;1.0899991218138165;-1.7380007367794303
50;1.0900024602126062;-1.8000003553322326
51;0.4999997985441139;-1.8000006105474136
52;0.4999986624506742;-1.4724000635122032
