vertex_idx;y1;y2
0;0.5000010581904503;-1.1518472571321086
1;0.9270567721854929;-1.1518449994347064
2;0.9324974395743832;-1.1518451471068345
3;0.942391307554089;-1.1713021262171108
4;0.9523369853466519;-1.1924607153188356
5;0.9631650987393946;-1.217357628900433
6;0.9739450514351038;-1.2440258532215127
7;0.9847360966156131;-1.2726359854292844
8;0.9955352612962953;-1.303152063800424
9;1.0051879893099571;-1.332046999077024
10;1.0147167909378798;-1.3620865368386703
11;1.0242114418509283;-1.393473596582985
12;1.033970041448602;-1.4272221140051637
13;1.0436350019817426;-1.4622515428936635
14;1.0531787448812;-1.4982985951534762
15;1.0626640978827835;-1.5355957287131186
16;1.0725028217786303;-1.5758029500181943
17;1.0725127887402972;-1.7999971616057975
18;0.8218963543470849;-1.8000000003493004
19;0.49999841665879663;-1.800000092964125
