vertex_idx;y1;y2
0;0.5000001600050574;-1.257999946346358
1;0.9499997522646353;-1.2579946627081513
2;0.9557126922193897;-1.2712897394250098
3;0.961348772368919;-1.2849914411484198
4;0.9726711915731391;-1.314015838051146
5;0.9839961792427677;-1.3451466858370353
6;0.9953354073387339;-1.378399776394399
7;1.0033651314010195;-1.4032258151697283
8;1.011373968453782;-1.4290332358167885
9;1.0193877019479285;-1.4559030647707674
10;1.0274029217775902;-1.483829372937464
11;1.0354249741623085;-1.5128067933711993
12;1.0434455016339783;-1.542871281926695
13;1.0514933275542617;-1.5740732752749829
14;1.0594436198203292;-1.6059478359387802
15;1.0670164080352311;-1.6372436717463994
16;1.074695162430299;-1.6699461357459067
17;1.0823445520999544;-1.7034856387772586
18;1.0900004160834067;-1.738000257797203
19;1.0899999995848806;-1.763931306317022
20;1.0899965152876991;-1.7999999778054891
21;0.49999990603477645;-1.8000000579038284
