vertex_idx;y1;y2
0;0.4999987176699692;-0.9445052322280049
1;0.7545956934089617;-0.944500001518322
2;0.8750004990727205;-0.944500294044467
3;0.8793254595834552;-0.9471209764077234
4;0.883650253855887;-0.9500539172272926
5;0.8879895351707924;-0.953309112704735
6;0.8922740396664682;-0.9568104034373369
7;0.8966148370551106;-0.9606644818081804
8;0.9008734527849971;-0.9647590130108913
9;0.905066653076872;-0.9690548444355978
10;0.9095983238344598;-0.9740275995448235
11;0.9183128443235449;-0.9845552568974998
12;0.9269255679906342;-0.9961816323464466
13;0.9355640705192211;-1.0090512951415822
14;0.9442017146834958;-1.0231363308752006
15;0.9530623564619516;-1.0388503522379495
16;0.9619580418388293;-1.0559127520465528
17;0.9709104995870704;-1.074397710297958
18;0.9796044728427847;-1.0936285422320042
19;0.9883003465455308;-1.1140513415524187
20;0.9972468190355963;-1.1363440406822138
21;1.0061357017084591;-1.159809190826564
22;1.0150005950525474;-1.1844999502442244
23;1.0149999998291626;-1.3875178614458568
24;1.0149947183980348;-1.8000016454284375
25;0.5000049460544517;-1.8000006141272906
26;0.4999999999150594;-1.6421135549397647
