vertex_idx;y1;y2
0;0.49999978282114654;-0.9219091838016943
1;0.76443023930362;-0.9219047618027225
2;0.8509624692485543;-0.9219035463192599
3;0.8523093881006015;-0.9220970151034341
4;0.8542429895531609;-0.9230437524138037
5;0.8561633101231035;-0.9247602897594611
6;0.8580861617102399;-0.9272584683413627
7;0.8600105884923465;-0.9305218997286567
8;0.861932207369887;-0.9345740345908877
9;0.8638607204894123;-0.9393983994468033
10;0.8657886881156321;-0.9450163871603149
11;0.8677116836825046;-0.9513963459484851
12;0.8699993422010489;-0.9600043420710734
13;0.869999999906484;-1.2934524459138679
14;0.8699964148460867;-1.8000005298440005
15;0.5000007865278213;-1.8000001878301182
16;0.4999991121247733;-1.3034898912536272
